Year,Date,Time,home_team,away_team,home_score,away_score,stage,SpecialWinConditions,Stadium,City,Attendance,year,is_penalty_shootout,result
2019,,21:00,Kenya,Senegal,0.0,3.0,Group C,,30 June Stadium, Cairo,13224.0,2019,False,L
2019,,21:00,Tanzania,Algeria,0.0,3.0,Group C,,Al Salam Stadium, Cairo,8921.0,2019,False,L
2019,,16:30,Morocco,Namibia,1.0,0.0,Group D,,Al Salam Stadium, Cairo,6857.0,2019,False,W
2019,,16:30,Ivory Coast,South Africa,1.0,0.0,Group D,,Al Salam Stadium, Cairo,4961.0,2019,False,W
2019,,19:00,Morocco,Ivory Coast,1.0,0.0,Group D,,Al Salam Stadium, Cairo,27500.0,2019,False,W
2019,,22:00,South Africa,Namibia,1.0,0.0,Group D,,Al Salam Stadium, Cairo,16090.0,2019,False,W
2019,,18:00,South Africa,Morocco,0.0,1.0,Group D,,Al Salam Stadium, Cairo,12098.0,2019,False,L
2019,,18:00,Namibia,Ivory Coast,1.0,4.0,Group D,,30 June Stadium, Cairo,7530.0,2019,False,L
2019,,19:00,Tunisia,Angola,1.0,1.0,Group E,,Suez Stadium, Suez,7345.0,2019,False,D
2019,,22:00,Mali,Mauritania,4.0,1.0,Group E,,Suez Stadium, Suez,6202.0,2019,False,W
2019,,16:30,Tunisia,Mali,1.0,1.0,Group E,,Suez Stadium, Suez,16085.0,2019,False,D
2019,,16:30,Mauritania,Angola,0.0,0.0,Group E,,Suez Stadium, Suez,10120.0,2019,False,D
2019,,21:00,Mauritania,Tunisia,0.0,0.0,Group E,,Suez Stadium, Suez,7732.0,2019,False,D
2019,,21:00,Angola,Mali,0.0,1.0,Group E,,Ismailia Stadium, Ismailia,8135.0,2019,False,L
2019,,19:00,Cameroon,Guinea-Bissau,2.0,0.0,Group F,,Ismailia Stadium, Ismailia,5983.0,2019,False,W
2019,,22:00,Ghana,Benin,2.0,2.0,Group F,,Ismailia Stadium, Ismailia,8094.0,2019,False,D
2019,,19:00,Cameroon,Ghana,0.0,0.0,Group F,,Ismailia Stadium, Ismailia,16724.0,2019,False,D
2019,,22:00,Benin,Guinea-Bissau,0.0,0.0,Group F,,Ismailia Stadium, Ismailia,9212.0,2019,False,D
2019,,18:00,Benin,Cameroon,0.0,0.0,Group F,,Ismailia Stadium, Ismailia,14120.0,2019,False,D
2019,,18:00,Guinea-Bissau,Ghana,0.0,2.0,Group F,,Suez Stadium, Suez,6905.0,2019,False,L
2019,,18:00,Morocco,Benin,1.0,1.0,Round of 16, Benin win on Penalities 1-4,Al Salam Stadium, Cairo,7500.0,2019,False,D
2019,,21:00,Uganda,Senegal,0.0,1.0,Round of 16,,Cairo International Stadium, Cairo,6950.0,2019,False,L
2019,,18:00,Nigeria,Cameroon,3.0,2.0,Round of 16,,Alexandria Stadium, Alexandria,10000.0,2019,False,W
2019,,21:00,Egypt,South Africa,0.0,1.0,Round of 16,,Cairo International Stadium, Cairo,75000.0,2019,False,L
2019,,18:00,Madagascar,Dr Congo,2.0,2.0,Round of 16,Madagascar  win on Penalities 4-2,Alexandria Stadium, Alexandria,5890.0,2019,False,D
2019,,21:00,Algeria,Guinea,3.0,0.0,Round of 16,,30 June Stadium, Cairo,8205.0,2019,False,W
2019,,18:00,Mali,Ivory Coast,0.0,1.0,Round of 16,,Suez Stadium, Suez,7672.0,2019,False,L
2019,,21:00,Ghana,Tunisia,1.0,1.0,Round of 16, Tunisia win on Penalities 4-5,Ismailia Stadium, Ismailia,8890.0,2019,False,D
2019,,18:00,Senegal,Benin,1.0,0.0,Quarter-finals,,30 June Stadium, Cairo,5798.0,2019,False,W
2019,,21:00,Nigeria,South Africa,2.0,1.0,Quarter-finals,,Cairo International Stadium, Cairo,48343.0,2019,False,W
2019,,18:00,Ivory Coast,Algeria,1.0,1.0,Quarter-finals, Algeria win on Penalities 3-4,Suez Stadium, Suez,8233.0,2019,False,D
2019,,21:00,Madagascar,Tunisia,0.0,3.0,Quarter-finals,,Al Salam Stadium, Cairo,7568.0,2019,False,L
2019,,18:00,Senegal,Tunisia,1.0,0.0,Semi-finals, win after extra time ,30 June Stadium, Cairo,9143.0,2019,False,W
2019,,21:00,Algeria,Nigeria,2.0,1.0,Semi-finals,,Cairo International Stadium, Cairo,49775.0,2019,False,W
2019,,21:00,Tunisia,Nigeria,0.0,1.0,Third place play-off,,Al Salam Stadium, Cairo,6340.0,2019,False,L
2019,,21:00,Senegal,Algeria,0.0,1.0,Final,,Cairo International Stadium, Cairo,75000.0,2019,False,L
2022,,17:00,Cameroon,Burkina Faso,2.0,1.0,Group A,,Olembe Stadium, Yaoundé,36259.0,2022,False,W
2022,,20:00,Ethiopia,Cape Verde,0.0,1.0,Group A,,Olembe Stadium, Yaoundé,24371.0,2022,False,L
2022,,17:00,Cameroon,Ethiopia,4.0,1.0,Group A,,Olembe Stadium, Yaoundé,48000.0,2022,False,W
2022,,20:00,Cape Verde,Burkina Faso,0.0,1.0,Group A,,Olembe Stadium, Yaoundé,,2022,False,L
2022,,17:00,Cape Verde,Cameroon,1.0,1.0,Group A,,Olembe Stadium, Yaoundé,,2022,False,D
2022,,17:00,Burkina Faso,Ethiopia,1.0,1.0,Group A,,Kouekong Stadium, Bafoussam,,2022,False,D
2022,,14:00,Senegal,Zimbabwe,1.0,0.0,Group B,,Kouekong Stadium, Bafoussam,,2022,False,W
2022,,17:00,Guinea,Malawi,1.0,0.0,Group B,,Kouekong Stadium, Bafoussam,,2022,False,W
2022,,14:00,Senegal,Guinea,0.0,0.0,Group B,,Kouekong Stadium, Bafoussam,,2022,False,D
2022,,17:00,Malawi,Zimbabwe,2.0,1.0,Group B,,Kouekong Stadium, Bafoussam,,2022,False,W
2022,,17:00,Malawi,Senegal,0.0,0.0,Group B,,Kouekong Stadium, Bafoussam,,2022,False,D
2022,,17:00,Zimbabwe,Guinea,2.0,1.0,Group B,,Stade Ahmadou Ahidjo, Yaoundé,,2022,False,W
2022,,17:00,Morocco,Ghana,1.0,0.0,Group C,,Stade Ahmadou Ahidjo, Yaoundé,,2022,False,W
2022,,20:00,Comoros,Gabon,0.0,1.0,Group C,,Stade Ahmadou Ahidjo, Yaoundé,,2022,False,L
2022,,17:00,Morocco,Comoros,2.0,0.0,Group C,,Stade Ahmadou Ahidjo, Yaoundé,,2022,False,W
2022,,20:00,Gabon,Ghana,1.0,1.0,Group C,,Stade Ahmadou Ahidjo, Yaoundé,,2022,False,D
2022,,20:00,Gabon,Morocco,2.0,2.0,Group C,,Stade Ahmadou Ahidjo, Yaoundé,,2022,False,D
2022,,20:00,Ghana,Comoros,2.0,3.0,Group C,,Roumdé Adjia Stadium, Garoua,,2022,False,L
2022,,17:00,Nigeria,Egypt,1.0,0.0,Group D,,Roumdé Adjia Stadium, Garoua,,2022,False,W
2022,,20:00,Sudan,Guinea-Bissau,0.0,0.0,Group D,,Roumdé Adjia Stadium, Garoua,,2022,False,D
2022,,17:00,Nigeria,Sudan,3.0,1.0,Group D,,Roumdé Adjia Stadium, Garoua,,2022,False,W
2022,,20:00,Guinea-Bissau,Egypt,0.0,1.0,Group D,,Roumdé Adjia Stadium, Garoua,,2022,False,L
2022,,20:00,Guinea-Bissau,Nigeria,0.0,2.0,Group D,,Roumdé Adjia Stadium, Garoua,,2022,False,L
2022,,20:00,Egypt,Sudan,1.0,0.0,Group D,,Stade Ahmadou Ahidjo, Yaoundé,,2022,False,W
2022,,14:00,Algeria,Sierra Leone,0.0,0.0,Group E,,Japoma Stadium, Douala,,2022,False,D
2022,,20:00,Equatorial Guinea,Ivory Coast,0.0,1.0,Group E,,Japoma Stadium, Douala,,2022,False,L
2022,,17:00,Ivory Coast,Sierra Leone,2.0,2.0,Group E,,Japoma Stadium, Douala,,2022,False,D
2022,,20:00,Algeria,Equatorial Guinea,0.0,1.0,Group E,,Japoma Stadium, Douala,,2022,False,L
2022,,17:00,Ivory Coast,Algeria,3.0,1.0,Group E,,Japoma Stadium, Douala,,2022,False,W
2022,,17:00,Sierra Leone,Equatorial Guinea,0.0,1.0,Group E,,Limbe Stadium, Limbe,,2022,False,L
2022,,14:00,Tunisia,Mali,0.0,1.0,Group F,,Limbe Stadium, Limbe,,2022,False,L
2022,,17:45[note 1],Mauritania,Gambia,0.0,1.0,Group F,,Limbe Stadium, Limbe,,2022,False,L
2022,,14:00,Gambia,Mali,1.0,1.0,Group F,,Limbe Stadium, Limbe,,2022,False,D
2022,,17:00,Tunisia,Mauritania,4.0,0.0,Group F,,Limbe Stadium, Limbe,,2022,False,W
2022,,20:00,Gambia,Tunisia,1.0,0.0,Group F,,Limbe Stadium, Limbe,,2022,False,W
2022,,20:00,Mali,Mauritania,2.0,0.0,Group F,,Japoma Stadium, Douala,,2022,False,W
2022,,17:00,Burkina Faso,Gabon,1.0,1.0,Round of 16,Burkina Faso  win on Penalities 7–6,Limbe Stadium, Limbe,,2022,False,D
2022,,20:00,Nigeria,Tunisia,0.0,1.0,Round of 16,,Roumdé Adjia Stadium, Garoua,,2022,False,L
2022,,17:00,Guinea,Gambia,0.0,1.0,Round of 16,,Kouekong Stadium, Bafoussam,,2022,False,L
2022,,20:00,Cameroon,Comoros,2.0,1.0,Round of 16,,Olembe Stadium, Yaoundé,,2022,False,W
2022,,17:00,Senegal,Cape Verde,2.0,0.0,Round of 16,,Kouekong Stadium, Bafoussam,,2022,False,W
2022,,20:00,Morocco,Malawi,2.0,1.0,Round of 16,,Ahmadou Ahidjo Stadium, Yaoundé,,2022,False,W
2022,,17:00,Ivory Coast,Egypt,0.0,0.0,Round of 16, Egypt win on Penalities 4–5,Japoma Stadium, Douala,,2022,False,D
2022,,20:00,Mali,Equatorial Guinea,0.0,0.0,Round of 16, Equatorial Guinea win on Penalities 5–6,Limbe Stadium, Limbe,,2022,False,D
2022,,17:00,Gambia,Cameroon,0.0,2.0,Quarter-finals,,Japoma Stadium, Douala,,2022,False,L
2022,,20:00,Burkina Faso,Tunisia,1.0,0.0,Quarter-finals,,Roumdé Adjia Stadium, Garoua,,2022,False,W
2022,,16:00[note 2],Egypt,Morocco,2.0,1.0,Quarter-finals, win after extra time ,Ahmadou Ahidjo Stadium, Yaoundé[note 3],,2022,False,W
2022,,20:00,Senegal,Equatorial Guinea,3.0,1.0,Quarter-finals,,Ahmadou Ahidjo Stadium, Yaoundé[note 4],,2022,False,W
2022,,20:00,Burkina Faso,Senegal,1.0,3.0,Semi-finals,,Ahmadou Ahidjo Stadium, Yaoundé[note 4],,2022,False,L
2022,,20:00,Cameroon,Egypt,0.0,0.0,Semi-finals, Egypt win on Penalities 1–3,Olembe Stadium, Yaoundé,,2022,False,D
2022,,20:00[note 5],Burkina Faso,Cameroon,3.0,3.0,Third place play-off,,Ahmadou Ahidjo Stadium, Yaoundé,,2022,False,D
2022,,20:00,Senegal,Egypt,0.0,0.0,Final,Senegal  win on Penalities 4–2,Olembe Stadium, Yaoundé,,2022,False,D
